87.39766," lb/cu ft  ",1.39999998881504,"  kg/L"
"TEMP","PSIA","DISC","LIQ","VAP","N-PSI","LDENS","DISC%","BAR"
70,1015,0,87.36471,.0329515,1010.025,100.203737186292,"0.",70
69,1001.882,.5537471,86.80969,3.421702E-02,997.0255,100.305881212092,"0.01",69.0952779835668
68,988.7653,1.121971,86.24023,3.545003E-02,984.0255,100.407792447835,"0.01",68.1907117120151
67,975.6513,1.706417,85.65459,3.665114E-02,971.0255,100.509450022089,"0.02",67.2862969760237
66,962.5395,2.308829,85.05101,3.782096E-02,958.0255,100.610861189849,"0.03",66.3820337755927
65,949.4298,2.930935,84.42776,3.896002E-02,945.0255,100.71204272706,"0.03",65.4779179014009
64,936.3223,3.574503,83.78309,4.006893E-02,932.0255,100.812973698586,"0.04",64.5739493534483
63,923.2169,4.241227,83.11529,4.114819E-02,919.0255,100.913661468421,"0.05",63.6701281317349
62,909.1135,4.950065,82.40535,4.224251E-02,905.0255,101.01411069147,"0.06",62.6974803003772
61,895.0121,5.687698,81.66665,4.331173E-02,891.0255,101.114322130848,"0.07",61.7249713766164
60,880.9127,6.455888,80.89742,4.435643E-02,877.0255,101.214303315202,"0.07",60.7526013604526
59,866.8154,7.256369,80.09591,4.537716E-02,863.0255,101.314042727288,"0.08",59.7803702518858
58,852.72,8.090829,79.26045,4.637452E-02,849.0255,101.413547929862,"0.09",58.8082738415948
57,838.6265,8.96089,78.38942,4.734906E-02,835.0255,101.512826558482,"0.1",57.8363079202586
56,824.5349,9.86818,77.48118,4.830144E-02,821.0255,101.611876706986,"0.11",56.8644724878772
55,810.4451,10.81424,76.53419,4.923222E-02,807.0255,101.710686832442,"0.12",55.8927633351293
54,796.3572,11.80059,75.54693,5.014203E-02,793.0255,101.809274275305,"0.14",54.9211846713362
53,782.2711,12.82872,74.51791,5.103155E-02,779.0255,101.907637179802,"0.15",53.9497280778556
52,768.1867,13.90007,73.44569,5.190141E-02,765.0255,102.005773689083,"0.16",52.9783935546875
51,754.1041,15.0161,72.3288,5.275232E-02,751.0255,102.103691653202,"0.17",52.0071811018319
50,740.0233,16.17825,71.16582,5.358503E-02,737.0255,102.201379539874,"0.19",51.0360907192888
49,725.9442,17.38795,69.95531,5.440031E-02,723.0255,102.298854979773,"0.2",50.0651139884159
48,711.8666,18.64666,68.6958,5.519894E-02,709.0255,102.39610645585,"0.21",49.0942509092134
47,697.7908,19.95586,67.38582,5.598179E-02,695.0255,102.493141942303,"0.23",48.1235056910022
46,683.7166,21.31708,66.02383,5.674972E-02,681.0255,102.589959683601,"0.24",47.1528699151401
45,669.644,22.73191,64.60825,.0575037,667.0255,102.686567743403,"0.26",46.1823435816272
44,655.5729,24.20207,63.13735,5.824474E-02,653.0255,102.782964418529,"0.28",45.2119266904634
43,641.5035,25.72932,61.60937,5.897389E-02,639.0255,102.879148004771,"0.29",44.2416192416487
42,627.4355,27.31559,60.02238,.0596923,625.0255,102.975126671362,"0.31",43.2714128165409
41,613.369,28.96296,58.3743,6.040114E-02,611.0255,103.070898766284,"0.33",42.3013116244612
40,599.304,30.67368,56.66288,6.110169E-02,597.0255,103.166462635623,"0.35",41.3313114560884
39,585.2404,32.45026,54.8856,6.179536E-02,583.0255,103.261826554537,"0.37",40.3614081021013
38,571.1783,34.29543,53.03975,6.248358E-02,569.0255,103.356988921532,"0.39",39.3916057718211
37,557.1176,36.21225,51.12224,6.316799E-02,555.0255,103.45194813315,"0.41",38.4219002559267
36,543.0582,38.20406,49.12975,6.385023E-02,541.0255,103.546712570361,"0.44",37.4522915544181
35,529.0002,40.27465,47.05848,6.453215E-02,527.0255,103.641290685296,"0.46",36.4827754579741
34,514.9436,42.4282,44.90424,6.521571E-02,513.0255,103.735660936272,"0.49",35.5133519665948
33,500.8882,44.66944,42.66231,6.590309E-02,499.0255,103.829851834497,"0.51",34.5440168709591
32,486.8342,47.00362,40.32745,6.659655E-02,485.0255,103.923841817111,"0.54",33.5747722757274
31,472.7814,49.43669,37.89367,6.729866E-02,471.0255,104.017649479793,"0.57",32.6056139715787
30,458.7299,51.97533,35.35432,6.801216E-02,457.0255,104.11127337328,"0.59",31.6365419585129
29,444.6796,54.62708,32.70184,6.874011E-02,443.0255,104.204712046527,"0.63",30.6675562365302
28,430.6305,57.40044,29.92773,6.948582E-02,429.0255,104.297974177917,"0.66",29.6986525963093
27,417.5825,60.12492,27.20265,7.008785E-02,416.0255,104.39106130419,"0.69",28.798794450431
26,404.5358,62.9678,24.35915,7.070383E-02,403.0255,104.483958929746,"0.72",27.8990183863147
25,391.4901,65.93858,21.38774,7.133721E-02,390.0255,104.576696153427,"0.75",26.999320194639
24,379.4456,68.82615,18.4997,7.180551E-02,378.0255,104.669254222188,"0.79",26.1686653926455
23,367.4023,71.83614,15.48923,7.228678E-02,366.0255,104.761649232857,"0.82",25.3380884630927
22,357.36,74.47462,12.85064,7.238521E-02,356.0255,104.853875562163,"0.85",24.6455162311422
21,348.3187,76.93537,10.39,7.227912E-02,347.0255,104.945939176726,"0.88",24.0219810748922
20,341.2785,78.91035,8.415555,7.175325E-02,340.0255,105.037852027279,"0.9",23.5364506162446
19,336.2394,80.34452,6.982333,7.080153E-02,335.0255,105.129602595079,"0.92",23.1889227505388
18,332.2012,81.49002,5.838,6.963696E-02,331.0255,105.221207247657,"0.93",22.9104298558728
17,330.1641,82.03699,5.292597,6.806575E-02,329.0255,105.312647115841,"0.94",22.7699353448276
16,328.1279,82.57112,4.760024,6.651244E-02,327.0255,105.403945995363,"0.94",22.6295102875808
15,326.0927,83.09367,4.239004,6.497771E-02,325.0255,105.495082009083,"0.95",22.4891483701509
14,324.0584,83.60601,3.72818,6.346215E-02,323.0255,105.586074666196,"0.96",22.3488538018588
13,322.025,84.10931,3.226368,6.196624E-02,321.0255,105.676922816156,"0.96",22.2086202687231
12,319.9926,84.60509,2.732073,6.049054E-02,319.0255,105.767625307198,"0.97",22.0684519800647
11,317.961,85.0946,2.24401,5.903547E-02,317.0255,105.858180985818,"0.97",21.9283426219019
10,315.9303,85.57933,1.760721,5.760146E-02,315.0255,105.948599151442,"0.98",21.7882942988955
9,313.9005,86.06061,1.280853,5.618888E-02,313.0255,106.038889173109,"0.98",21.6483070110453
8,311.8714,86.53985,.8030056,5.479806E-02,311.0255,106.129039510429,"0.99",21.5083744443696
7,309.8433,87.01846,.3257589,5.342935E-02,309.0255,106.219059565179,"1.",21.3685008081897
"0.0096 initial kgs nitrogen/kg NOVEC"
